Frequency,Text
121,HMSO
109,Britain
103,England
99,Scotland
69,English
58,Wales
58,Ireland
51,Northern Ireland
35,one
35,UKCitizenshipsupport.com
30,London
29,first
26,today
25,France
24,Scottish
21,House of Commons
18,Welsh
17,both
16,House of Lords
15,Mary
15,India
14,William
13,Europe
13,Church of England
12,James
12,Irish
11,each
11,One
11,Middle Ages
11,Henry
11,German
10,Scottish Parliament
10,Henry VIII
10,Germany
10,First World War
10,Elizabeth
9,Prime Minister
9,European
9,Edinburgh
9,19th century
9,1960s
8,French
8,Charles II
8,Charles
8,Anglo-Saxon
8,18th century
8,18
7,United States
7,Northern Ireland Assembly
7,Italy
7,Easter
7,Christian
7,British Empire
7,2012
7,1969
7,1945
6,Second World War
6,Scots
6,Olympic
6,Manchester
6,God
6,Cromwell
6,Catholic
6,British government
6,Both
6,BBC
6,20th century
5,www.gov.uk
5,West Indies
5,Pope
5,Netherlands
5,James II
5,Hitler
5,Commonwealth
5,Christmas Day
5,Christmas
5,Christians
5,America
5,1950s
5,1941
5,1928
5,1922
5,1913
4,two
4,Spanish
4,Soviet Union
4,Sikh
4,Royal Albert Hall
4,Romans
4,Roman
4,Protestant
4,Parliament
4,Pakistan
4,Norman Conquest
4,Nobel Prize
4,Muslims
4,HMRC
4,EU
4,Christianity
4,Canterbury
4,Australia
4,Anne Boleyn
4,Africa
4,2008
4,2007
4,2004
4,1979
4,1958
4,1954
4,1939
4,1914
4,1902
4,1759
4,16
4,1066
3,www.parliament.uk
3,six times
3,late 19th century
3,five
3,first time
3,Worcester
3,William the Conqueror
3,Westminster Abbey
3,Vikings
3,Viking
3,Tower of London
3,Stormont
3,Stone Age
3,Shakespeare
3,Rudyard Kipling
3,Royal Family
3,Roman Catholic
3,Protestants
3,Presbyterian Church
3,Pale
3,Olympic Games
3,Oliver Cromwell
3,Northern Irish
3,Normans
3,Norman
3,National Health Service
3,Magna Carta
3,MSPs
3,MEPs
3,Labour Party
3,Jews
3,Jesus Christ
3,Iron Age
3,Indian
3,ISAF
3,House of Tudor
3,Glorious Revolution
3,Glasgow
3,George II
3,George
3,Gaelic
3,European Parliament
3,Eden Project
3,ESOL
3,December
3,David Lean
3,Crimean War
3,Conservative Party
3,Clement Attlee
3,Citizens Advice Bureau
3,Catholics
3,Caribbean
3,Cardiff
3,Bronze Age
3,British army
3,Boers
3,Big Ben
3,Belgium
3,Attlee
3,April
3,Anne
3,American
3,96
3,2003
3,1999
3,1990s
3,1984
3,1976
3,1973
3,1972
3,1970s
3,1955
3,1936
3,1935
3,1920s
3,1918
3,1916
3,1870
3,11.00 am
2,www.lifeintheuktest.gov.uk
2,two parties
2,two families
2,two countries
2,three years
2,southern Africa
2,single
2,second half
2,over 21
2,one year
2,next century
2,late 1970s
2,first man
2,first farmers
2,every five years
2,eastern England
2,earth
2,early 19th century
2,democratic
2,central London
2,both sides
2,aged 18
2,a week
2,York Minster
2,World War
2,World Cup
2,Winston Churchill
2,William Wordsworth
2,William III
2,William Beveridge
2,Wembley Stadium
2,Welsh government
2,Welsh Assembly
2,Wars of the Roses
2,Victorian period
2,UN
2,UEFA
2,Turner Prize
2,Turkey
2,Today
2,The Wars of the Roses
2,The Tudors
2,Tate Modern
2,Sutton Hoo
2,Sundays
2,Sunday
2,Sullivan
2,Suffolk
2,Stuarts
2,Stonehenge
2,St Augustine
2,Snowdonia
2,Russia
2,Royal Air Force
2,Roman army
2,Roman Catholics
2,Roman Catholic Church
2,Robert Burns
2,Richard
2,Remembrance Day
2,Queen Victoria
2,Queen Elizabeth II
2,Queen Elizabeth I
2,Queen Anne
2,Quakers
2,Protestant Church
2,Poland
2,Paralympian
2,One example
2,Oliver
2,October
2,November
2,Norway
2,Northern Ireland Parliament
2,Northern
2,North Wales
2,North America
2,Normandy
2,Norman French
2,New Zealand
2,New Year
2,National Trust
2,National Citizen Service
2,National Assembly for Wales
2,National Assembly
2,NHS
2,NATO
2,May
2,Mary Peters
2,Mahomet
2,Lord Protector
2,Lord Byron
2,Loch Lomond
2,Liverpool
2,Level 3
2,Latin
2,Last Night
2,Lancaster
2,Lake District
2,Joseph Turner
2,Jewish
2,Japanese
2,Japan
2,James Bond
2,Isle of Wight
2,Isle of Man
2,Isaac Newton
2,Iraq
2,Hundred Years War
2,House of York
2,House of Lancaster
2,Hollywood
2,Hogmanay
2,Hindu
2,Henry VII
2,Harry Potter
2,Harold
2,Habeas Corpus Act
2,Greenwich
2,Great Britain
2,Grand Slam
2,Graham Greene
2,Gilbert
2,Germans
2,Friday
2,Florence Nightingale
2,Fleming
2,Falkland Islands
2,Evelyn Waugh
2,European Union
2,Emmeline Pankhurst
2,Emmeline
2,Elizabeth I
2,Edwin Lutyens
2,Edward
2,EEC
2,Dylan Thomas
2,Dunkirk
2,Dublin
2,Diwali
2,DWP
2,Council of Europe
2,Concorde
2,Church of Scotland
2,Christopher Wren
2,Channel Islands
2,Catherine
2,Canada
2,Cambridge University
2,Briton
2,Bible
2,Belfast
2,Battle of Trafalgar
2,Battle of Britain
2,Bangladesh
2,Anglo-Saxons
2,Alfred Hitchcock
2,Al Qa
2,Afghanistan
2,Afghan
2,A lot of people
2,95
2,91
2,88
2,70
2,31 December
2,24 questions
2,2011
2,2000
2,20 years
2,2%
2,2 million
2,1997
2,1994
2,1990
2,1986
2,1980
2,1967
2,1962
2,1957
2,1952
2,1951
2,1949
2,1948
