Text,Type,Score,File,Line Number
Britain,LOCATION,0.9774353504180908,Chapter1.txt,7
HMSO,ORGANIZATION,0.7913879156112671,Chapter1.txt,36
English,OTHER,0.9558682441711426,Chapter1.txt,70
HMSO,ORGANIZATION,0.7913879156112671,Chapter1.txt,75
English,OTHER,0.9476305842399597,Chapter1.txt,85
B1,OTHER,0.5971188545227051,Chapter1.txt,86
Common European Framework of Reference,TITLE,0.99604731798172,Chapter1.txt,86
ESOL,ORGANIZATION,0.6872615218162537,Chapter1.txt,87
Level 3,QUANTITY,0.9025464057922363,Chapter1.txt,87
English,OTHER,0.9089450836181641,Chapter1.txt,92
24 questions,QUANTITY,0.989628791809082,Chapter1.txt,99
24 questions,QUANTITY,0.9847776889801025,Chapter1.txt,101
each,QUANTITY,0.7557210326194763,Chapter1.txt,101
The Life in the UK test,TITLE,0.8290860056877136,Chapter1.txt,103
English,OTHER,0.9293910264968872,Chapter1.txt,103
Welsh,LOCATION,0.7208693623542786,Chapter1.txt,104
Scottish Gaelic,LOCATION,0.9404452443122864,Chapter1.txt,104
about 60 test centres,QUANTITY,0.9375123381614685,Chapter1.txt,106
www.lifeintheuktest.gov.uk,OTHER,0.9919677376747131,Chapter1.txt,107
UK Border Agency,ORGANIZATION,0.9236191511154175,Chapter1.txt,108
Isle of Man,LOCATION,0.9386197328567505,Chapter1.txt,109
Channel Islands,LOCATION,0.8854718804359436,Chapter1.txt,110
HMSO,ORGANIZATION,0.7913879156112671,Chapter1.txt,123
English,OTHER,0.9533795118331909,Chapter1.txt,132
ESOL,ORGANIZATION,0.26878947019577026,Chapter1.txt,132
Level 3,QUANTITY,0.8594409227371216,Chapter1.txt,132
The Life in the UK,TITLE,0.8500543832778931,Chapter1.txt,146
www.lifeintheuktest.gov.uk,OTHER,0.9854394197463989,Chapter1.txt,146
one,QUANTITY,0.5828796625137329,Chapter1.txt,147
Gov.uk,OTHER,0.7830168604850769,Chapter1.txt,148
www.gov.uk,OTHER,0.9896190762519836,Chapter1.txt,148
ESOL,OTHER,0.43126246333122253,Chapter1.txt,148
one,QUANTITY,0.6054017543792725,Chapter1.txt,149
HMSO,ORGANIZATION,0.7913879156112671,Chapter1.txt,158
Ireland,LOCATION,0.9663011431694031,Chapter2.txt,6
Northern Ireland,LOCATION,0.831444263458252,Chapter2.txt,9
Great Britain,LOCATION,0.7955478429794312,Chapter2.txt,9
England,LOCATION,0.9778639674186707,Chapter2.txt,9
Scotland,LOCATION,0.9996289014816284,Chapter2.txt,9
Wales,LOCATION,0.9987190961837769,Chapter2.txt,9
Northern Ireland,LOCATION,0.9584099054336548,Chapter2.txt,10
Britain,LOCATION,0.8668031692504883,Chapter2.txt,10
British Isles,LOCATION,0.7252475023269653,Chapter2.txt,10
Channel Islands,LOCATION,0.9472490549087524,Chapter2.txt,13
Isle of Man,LOCATION,0.9674280881881714,Chapter2.txt,13
Falkland Islands,LOCATION,0.9843325018882751,Chapter2.txt,16
Wales,LOCATION,0.9435768723487854,Chapter2.txt,18
Northern Ireland,LOCATION,0.9893864393234253,Chapter2.txt,18
HMSO,ORGANIZATION,0.7913879156112671,Chapter2.txt,23
UKCitizenshipsupport.com,OTHER,0.9988764524459839,Chapter5.txt,1
democratic,ORGANIZATION,0.8324263691902161,Chapter5.txt,18
democratic,ORGANIZATION,0.5053009390830994,Chapter5.txt,18
19th century,DATE,0.997393012046814,Chapter5.txt,25
Britain,LOCATION,0.6411580443382263,Chapter5.txt,25
today,DATE,0.9648808836936951,Chapter5.txt,26
HMSO,ORGANIZATION,0.7913879156112671,Chapter5.txt,28
UKCitizenshipsupport.com,OTHER,0.9988764524459839,Chapter5.txt,34
over 21,QUANTITY,0.8393952250480652,Chapter5.txt,35
19th century,DATE,0.9969063401222229,Chapter5.txt,38
1830s,DATE,0.9800556302070618,Chapter5.txt,40
1840s,DATE,0.9379822611808777,Chapter5.txt,40
